Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-April-2019,2029.70,2058.95,2020.00,2051.45,2042.882671409071818563,152384,5206,311302633.00,31490,20.66,38.95,21.75
4-April-2019,2080.00,2080.75,2006.00,2014.30,2035.539991777515483468,150806,7255,306971644.00,48203,31.96,74.75,-65.70
3-April-2019,2089.80,2089.80,2060.00,2080.25,2075.845900000793266751,126061,4606,261683210.00,28333,22.48,29.80,-9.55
2-April-2019,2040.00,2084.00,2035.55,2079.50,2065.352702062555212721,156214,6705,322637007.00,52626,33.69,48.45,39.50
1-April-2019,2010.00,2040.00,2009.25,2031.30,2009.365771075179008812,532795,3804,1070580036.00,465054,87.29,30.75,21.30
29-March-2019,2017.90,2024.90,1986.75,2000.40,2003.160494492175927172,148516,5648,297501384.00,38387,25.85,38.15,-17.50
28-March-2019,1978.00,2010.95,1972.40,2000.45,1991.720670472844385887,204930,4876,408163317.00,101190,49.38,38.55,22.45
27-March-2019,1985.00,1998.25,1961.00,1968.20,1976.927728094453421216,125014,5015,247143643.00,49681,39.74,37.25,-16.80
26-March-2019,1985.00,1994.00,1959.00,1981.80,1971.844966171715962160,133616,6422,263470037.00,45268,33.88,35.00,-3.20
25-March-2019,2007.00,2010.00,1979.30,1986.90,2014.254439869665480958,535545,5786,1078723894.00,461292,86.14,30.70,-20.10
22-March-2019,2015.50,2015.50,1985.50,2004.65,1997.989751262885403494,151043,5535,301782366.00,49252,32.61,30.00,-10.85
20-March-2019,2025.00,2044.60,2002.00,2015.50,2025.920858475572726215,154786,5939,313584186.00,31251,20.19,42.60,-9.50
19-March-2019,2026.00,2030.00,1996.40,2024.70,2010.777269964750212714,82270,4832,165426646.00,16056,19.52,33.60,-1.30
18-March-2019,2045.00,2062.90,2012.00,2021.30,2034.374289069941645936,108133,4523,219982995.00,21313,19.71,50.90,-23.70
15-March-2019,1993.00,2069.00,1993.00,2040.20,2040.033285996140754070,184492,7657,376369821.00,42397,22.98,76.00,47.20
14-March-2019,2009.00,2009.00,1982.30,1988.60,1991.858206593962916868,47407,3402,94428022.00,13475,28.42,26.70,-20.40
13-March-2019,2006.10,2015.15,1978.60,2001.15,2000.680598549567386049,91421,4920,182904221.00,32373,35.41,36.55,-4.95
12-March-2019,2018.00,2024.90,2003.35,2012.55,2014.939056522052984913,55412,3045,111651803.00,13945,25.17,21.55,-5.45
11-March-2019,2022.70,2032.80,2005.50,2014.10,2016.935331857150968034,52839,2639,106572846.00,14909,28.22,27.30,-8.60
8-March-2019,2029.00,2032.60,2010.05,2022.30,2023.187261225630778469,96587,4480,195413588.00,24130,24.98,22.55,-6.70
7-March-2019,2000.50,2021.00,2000.50,2011.50,2013.882118925019397615,70885,5079,142754034.00,19949,28.14,20.50,11.00
6-March-2019,1990.00,2014.35,1986.45,1999.40,2002.276816106456561402,110167,6353,220584830.00,33273,30.20,27.90,9.40
5-March-2019,2002.00,2005.00,1978.05,1987.85,1986.445943011281160347,87491,4811,173796142.00,24913,28.47,26.95,-14.15
1-March-2019,1990.00,2005.95,1982.50,1991.65,1993.502828250015889045,141607,8958,282293955.00,35422,25.01,23.45,1.65
28-February-2019,2065.00,2070.00,1977.85,1984.25,2006.622048623786230561,342425,13887,687117555.00,119804,34.99,92.15,-80.75
27-February-2019,2037.00,2070.00,2020.85,2053.75,2048.690048163082437275,142848,7002,292651276.00,20605,14.42,49.15,16.75
26-February-2019,1977.00,2038.65,1969.90,2032.35,2018.176349188068639871,217075,8576,438095631.00,46050,21.21,68.75,55.35
25-February-2019,1927.15,1990.00,1927.15,1985.00,1963.844451926314270597,124746,6033,244981740.00,30710,24.62,62.85,57.85
22-February-2019,1920.00,1930.50,1905.00,1925.90,1920.631755801903087020,63686,2703,122317354.00,13712,21.53,25.50,5.90
21-February-2019,1924.00,1939.80,1898.65,1912.25,1922.570809132785900260,199720,6301,383975842.00,49271,24.67,41.15,-11.75
20-February-2019,1913.95,1933.80,1882.00,1914.45,1908.912035028683789098,246655,8171,470842698.00,83147,33.71,51.80,0.50
19-February-2019,1971.75,1971.75,1895.00,1904.85,1927.497035196208749927,173030,7153,333514812.00,46777,27.03,76.75,-66.90
18-February-2019,2035.00,2044.10,1965.60,1971.75,1984.079585610288296290,103574,4610,205499059.00,41347,39.92,78.50,-63.25
15-February-2019,2045.00,2052.00,2013.00,2030.90,2031.946566967104885469,69676,3141,141577909.00,13632,19.56,39.00,-14.10
14-February-2019,2064.00,2075.00,2033.15,2044.65,2050.896464772557047985,40054,2346,82146607.00,10172,25.40,41.85,-19.35
13-February-2019,2057.00,2082.75,2050.65,2068.60,2064.237878067338786380,210280,4392,434067941.00,143997,68.48,32.10,11.60
12-February-2019,2070.00,2077.00,2020.35,2050.65,2043.344264899459852026,88124,4670,180067670.00,21701,24.63,56.65,-19.35
11-February-2019,2062.00,2093.45,2051.05,2065.55,2075.801794988870498259,70084,3357,145480493.00,14551,20.76,42.40,3.55
8-February-2019,2078.00,2088.25,2054.00,2062.75,2082.531059814186525895,856235,2882,1783135982.00,790434,92.32,34.25,-15.25
